AR ,Augmented Reality
ARP ,Address Resolution Protocol
ASP ,Application Service Provider
BCP ,Business Continuity Plan
BI ,Business Intelligence
BPO ,Business Process Outsourcing
BPR ,Business Process Reengineering
bps ,bit per second
BSC ,Balanced ScoreCard
BYOD ,Bring Your Own Device
CAD ,Computer Aided Design
CAM ,Computer Aided Manufacturing
CIO ,Chief Information Officer
CMMI ,Capability Maturity Model Integration
CPU ,Central Processing Unit
CRM ,Customer Relationship Management
CSF ,Critical Success Factors
CSR ,Corporate Social Responsibility
CSS ,Cascading Style Sheets
DDoS攻撃 ,Distributed Denial Of Service
DFD ,Data Flow Diagram
DHCP ,Dynamic Host Configuration Protocol
DMZ ,DeMilitarized Zone
DNS ,Domain Name System
DOA ,Data Oriented Approach
dpi ,dots per inch
DRAM ,Dynamic Random Access Memory
DRM ,Digital Rights Management
EA ,Enterprise Architecture 組織運営の基本理念
EC ,Electronic Commerce 電子商取引
ECC ,Error Check and Correct 誤り訂正符号
E-R図 ,Entity Relationship Diagram
ERP ,Enterprise Resource Planning
EVM ,Earned Value Management 出来高管理
FIFO ,First In First Out、先入先出
FTP ,File Transfer Protocol
FTTH ,Fiber To The Home
GPS ,Global Positioning System
HaaS ,Hardware as a Service ハードウエア利用提供サービス
HDMI ,High-Definition Multimedia Interface
HRM ,Human Resource Management 人的資源管理
HTML ,HyperText Markup Language
HTTP ,Hyper Text Transfer Protocol
IDS ,Intrusion Detection System 侵入検知システム
IEEE ,Institute of Electrical and Electronic Engineers
IMAP ,Internet Message Access Protocol
IoT ,Internet of Things
IPO ,Initial Public Offering
IPS ,Intrusion Prevention System 侵入防止システム
IPv6 ,Internet Protocol version6
